Series_Title,Released_Year,Keywords,date_details,Certificate
Lat sau san taam,1992,"['arms smuggling', 'inspector', 'arms dealer', 'hong kong', 'drugs', 'gay interest']",1992-04-16,R
Night on Earth,1991,"['helsinki, finland', 'new york city', 'taxi', 'metropolis', 'paris, france', 'rome, italy', 'heart attack', 'megacity', 'taxi driver', 'german democratic republic', 'pastor', 'passenger', 'night life', 'casual meeting', 'casting agent', 'road trip', 'conflict', 'los angeles, california', 'episodic', 'finland', 'understanding']",1991-10-04,R
La double vie de Véronique,1991,"['music teacher', 'kraków, poland', 'puppeteer', 'heart disease', 'fake identity', 'puppet', 'poland', 'chorus', 'doppelgänger', 'parallel lives', 'soprano', 'warsaw, poland', 'choral music', 'marionettes']",1991-05-15,R
Boyz n the Hood,1991,"['street gang', 'gangster', 'rapper', 'ghetto', 'street war', 'violence in schools', 'vexed', 'south central los angeles', 'vindictive', 'cautionary', 'black american', 'intense', 'antagonistic', 'callous']",1991-05-13,R
Misery,1990,"['based on novel or book', 'nurse', 'psychopath', 'colorado', 'car crash', 'author', 'slasher', 'psychological thriller', 'torture', 'obsessed fan', 'blizzard', 'bedridden', 'psycho', 'lunatic', 'female psychopath', 'claustrophobic', 'abducted', 'obssesive fan', 'rural setting', 'crazy', 'kidnapped', 'authoritarian', 'fight for survival', 'nutcase', 'escritor']",1990-11-29,R
Awakenings,1990,"['coma', 'experiment', 'based on novel or book', 'hope', 'miracle', 'based on true story', 'hospital', 'illness', 'woman director', 'comatose']",1990-12-04,PG-13
Majo no takkyûbin,1989,"['witch', 'clock tower', 'bicycle accident', 'female friendship', 'bakery', 'coming of age', ""based on children's book"", 'cartoon cat', 'cartoon dog', 'baking', 'seaside town', 'talking cat', 'courier service', 'delivery service', 'anime', 'adventure']",1989-07-29,G
Glory,1989,"['racism', 'battle', 'union soldier', 'confederate soldier', 'american civil war', '19th century', 'early america', 'african american history', 'american history']",1989-12-15,R
Dip huet seung hung,1989,"['blindness and impaired vision', 'police', 'hitman', 'hong kong', 'heroic bloodshed']",1989-03-24,R
Back to the Future Part II,1989,"['flying car', 'skateboarding', 'car race', 'lightning', 'guitar', 'inventor', 'time travel', 'diner', 'car crash', 'sequel', 'alternate history', 'thunderstorm', 'nostalgic', 'tunnel', 'high school dance', 'hoverboard', '2010s', 'playful', 'suspenseful', 'enthusiastic', 'exhilarated', 'optimistic']",1989-11-20,PG
Mississippi Burning,1988,"['suicide', 'sheriff', 'police', 'funeral', 'ku klux klan', 'mississippi river', 'shotgun', 'fbi', 'deputy sheriff', 'motel', 'u.s. navy', 'rope', 'burning cross', 'based on true story', 'murder', 'racism', 'dramatic', 'callous', 'compassionate', 'disheartening', 'empathetic', 'harsh', 'tragic']",1988-12-02,R
Predator,1987,"['guerrilla warfare', 'central and south america', 'predator', 'trap', 'alien', 'survival', 'stalking', 'creature', 'alien invasion', 'invisible', 'commando', 'prey', 'violence']",1987-06-12,R
Evil Dead II,1987,"['deer', 'tape recorder', 'chainsaw', 'spirit', 'cabin in the woods', 'over the top', 'book of the dead', 'evil dead', 'eyeball', 'necronomicon', 'tarmac', 'meat cleaver', 'psychotronic', 'shocking']",1987-03-13,R
Ferris Bueller's Day Off,1986,"['chicago, illinois', 'high school', 'independence', 'coming of age', 'caper', 'breaking the fourth wall', 'teen movie', 'fantasy sequence', 'car theft', 'skipping school', 'aftercreditsstinger', 'duringcreditsstinger', 'truancy', 'day in a life', '1980s', 'playful', 'irreverent', 'lighthearted', 'teenager', 'optimistic', 'sincere']",1986-06-11,PG-13
Down by Law,1986,"['prison', 'prostitute', 'escape', 'fight', 'pimp', 'new orleans, louisiana', 'louisiana', 'prison escape', 'bayou', 'black and white', 'convict', 'dj', 'cell mate']",1986-05-17,R
The Goonies,1985,"['gang of thieves', 'treasure map', 'oregon, usa', 'gunfight', 'childhood friends', 'booby trap', 'water slide', 'foreclosure', 'walking the plank', 'lost treasure', 'social outcast', 'pirate ship', 'henchmen']",1985-06-07,PG
The Color Purple,1985,"['prison', 'rape', 'sibling relationship', 'jazz', 'southern usa', 'africa', 'empowerment', 'adoption', 'abusive father', 'violent husband', 'jazz singer or musician', 'letter', 'cynical', 'incest', 'angry', 'aggressive', 'desperate', 'complex', 'anxious', 'cautionary', 'sentimental', 'antagonistic', 'authoritarian', 'callous', 'celebratory', 'condescending', 'defiant', 'harsh', 'ominous']",1985-12-16,PG-13
The Breakfast Club,1985,"['high school', 'coming of age', 'teen angst', 'detention', 'teenage rebellion', 'stereotype', '1980s', 'teenager', 'wry']",1985-02-07,R
The Killing Fields,1984,"['journalist', 'vietnam', 'cambodia', 'civil war', 'based on novel or book', 'photographer', 'mass murder', '1970s', 'evacuation', 'embassy', 'national socialist party', 'killing fields', 'red khmer', 'pol pot', 'pulitzer prize', 'based on true story', 'brutality', 'genocide', 'communism', 'violence']",1984-11-02,R
Ghostbusters,1984,"['new york city', 'environmental protection agency', 'library', 'supernatural', 'paranormal phenomena', 'loser', 'slime', 'gatekeeper', 'nerd', 'giant monster', 'haunting', 'hybrid', 'possession', 'mythology', 'horror spoof', 'paranormal investigation', 'urban setting', 'super power', 'receptionist', 'blunt', 'world trade center', 'ghost', 'duringcreditsstinger', 'satirical', 'ghostbusters', 'witty', 'amused', 'enchant']",1984-06-08,PG
The Right Stuff,1983,"['epic', 'based on novel or book', 'nasa', 'politics', 'cold war', 'answering machine', 'pilot', 'u.s. air force', 'space travel', 'flight', 'historical figure', 'astronaut', 'space race', 'test pilot', '1940s', '1950s', '1960s', 'sound barrier', 'space program', 'astronauts']",1983-10-20,PG
The King of Comedy,1982,"['prison', 'new york city', 'blackmail', 'show business', 'entertainer', 'fbi', 'studio', 'receptionist', 'zealous', 'cautionary', 'hilarious', 'audacious', 'mean spirited']",1982-12-18,PG
E.T. the Extra-Terrestrial,1982,"['farewell', 'space marine', 'operation', 'flying saucer', 'nasa', 'homesickness', 'loss of loved one', 'extraterrestrial technology', 'prosecution', 'riding a bicycle', 'halloween', 'finger', 'flowerpot', 'alien', 'single', 'single mother', 'hopeful', 'joyful']",1982-05-26,PG
Kramer vs. Kramer,1979,"['husband wife relationship', 'marriage', 'custody battle', 'divorce', 'family', 'couple', 'selfishness', 'manhattan, new york city', 'child custody', 'abandonment', 'dramatic', 'parents separating', 'compassionate']",1979-12-05,PG
Days of Heaven,1978,"['chicago, illinois', 'farm', 'husband wife relationship', 'love triangle', 'texas', 'marriage', 'field', 'love', 'poverty', 'class differences', 'farmer', 'jealous husband', 'harvest', 'relaxed', 'ambiguous']",1978-09-13,PG
The Outlaw Josey Wales,1976,"['showdown', 'loss of loved one', 'texas', 'settler', 'native american', 'revenge', 'gun battle', 'surrender', 'indian attack', 'massacre survivor', 'comanche', 'american civil war', 'avenge', '19th century', 'union army', 'guns', 'shooting', 'family massacre']",1976-06-26,PG
The Man Who Would Be King,1975,"['journalist', 'gold', 'treasure', 'robbery', 'cheating', 'coronation', 'con man', 'british army', 'british empire', 'friends', 'soldier', 'king', 'battle', 'ruler', 'based on short story', '19th century', 'british raj']",1975-12-03,PG
The Conversation,1974,"['shadowing', 'san francisco, california', 'technology', 'spy', 'audio tape', 'paranoia', 'wiretap', 'saxophone', 'conspiracy', 'tragic event', 'surveillance', 'voyeurism']",1974-04-07,PG
La planète sauvage,1973,"['based on novel or book', 'dystopia', 'space travel', 'alien life-form', 'alien planet', 'adult animation', 'human subjugation', 'technological evolution']",1973-05-11,PG
The Day of the Jackal,1973,"['assassin', 'assassination', 'france', 'paris, france', 'based on novel or book', 'police', 'hitman', 'traitor', 'castle', 'fake identity', 'disguise', 'denunciation']",1973-05-16,PG
Badlands,1973,"['mass murder', 'based on true story', 'fugitive', 'on the run', 'on the road', 'killing spree', 'south dakota', 'badlands', 'runaway couple', 'fugitive lovers']",1973-10-13,PG
Cabaret,1972,"['berlin, germany', 'nazi', 'entertainer', 'cabaret', 'bisexuality', 'musical', 'based on play or musical', 'hitler youth', 'fireplace', 'based on short story', 'lgbt', 'master of ceremonies', 'baron love', 'political unrest', 'english lesson', '1930s', 'gay theme']",1972-02-13,PG
Willy Wonka & the Chocolate Factory,1971,"['factory worker', 'factory', 'based on novel or book', 'chocolate', 'candy', 'overweight child', 'grandparent grandchild relationship', 'tv addicted person', 'affectation', 'musical', 'single', 'teacher', ""based on children's book"", 'poor kid', 'christmas', 'eccentric man', 'grandfather grandson relationship', 'playful', 'irreverent', 'candy bar', 'absurd', 'whimsical', 'melodramatic', 'mocking', 'sarcastic']",1971-06-29,G
Midnight Cowboy,1969,"['new york city', 'friendship', 'prostitute', 'rape', 'based on novel or book', 'shower', 'texas', 'hustler', 'homelessness', 'rape of a male', 'male homosexuality', 'male prostitution', 'fish out of water', 'gang rape', 'cynical', 'lgbt', 'male bonding', 'polio', '1960s', 'anxious', 'cautionary', 'provocative']",1969-05-25,NC-17
Wait Until Dark,1967,"['police', 'photographer', 'heroin', 'search', 'murder', 'neighbor', 'doll', 'blindness', 'blind woman']",1967-10-26,NR
Guess Who's Coming to Dinner,1967,"['marriage proposal', 'san francisco, california', 'vacation', 'ruling class', 'interracial relationship', 'dinner', 'doctor', 'art gallery', 'widower', 'miscegenation', 'publisher', 'racismo', 'jantar', 'viúva']",1967-12-11,NR
Bonnie and Clyde,1967,"['sheriff', 'waitress', 'ambush', 'prohibition era', 'submachine gun', 'texas', 'bank robber', 'oklahoma', 'impotence', 'missouri', 'texas ranger', 'crook couple', 'heist', 'fugitive', 'on the run', 'bank robbery', 'grave digger', 'crime spree', 'crime wave', 'bank heist', 'police shootout', 'public enemy', 'gun crime', 'runaway couple', 'witty', 'fugitive lovers', 'joyful', 'tragic']",1967-08-04,R
My Fair Lady,1964,"['transformation', 'musical', 'flower girl', 'colonel', 'suitor', 'wager', 'class differences', 'tutor', 'aristocrat', 'linguist', 'high society', 'misogynist', 'guttersnipe', 'class prejudice', 'opposites attract', 'pygmalion']",1964-10-21,G
Mary Poppins,1964,"['london, england', 'sibling relationship', 'based on novel or book', 'parent child relationship', 'magic', 'nanny', 'musical', 'family', 'nostalgic', 'kite flying', 'live action and animation', '1910s', 'chimney sweep', 'suffragettes', 'wonder', 'lighthearted', 'joyous', 'adoring', 'awestruck', 'cheerful', 'joyful', 'optimistic', 'sympathetic', 'vibrant']",1964-08-27,G
The Longest Day,1962,"['steel helmet', 'resistance', 'allies', 'world war ii', 'normandy, france', 'based on true story', 'd-day', 'historical fiction', 'soldier', 'dramatic', 'commanding']",1962-09-25,PG
Jules et Jim,1962,"['adultery', 'friendship', 'prostitute', 'jealousy', 'paris, france', 'based on novel or book', 'love triangle', 'musician', 'marriage', 'love', 'polyamory', 'austrian', '1910s', 'nouvelle vague']",1962-01-23,NR
The Innocents,1961,"['based on novel or book', 'england', 'supernatural', 'haunted house', 'haunting', 'possession', 'black and white', 'ghost story', 'governess']",1961-11-24,NR
À bout de souffle,1960,"['hotel room', 'dying and death', 'newspaper', 'journalist', 'friendship', 'paris, france', 'fight', 'loss of loved one', 'gun', 'car thief', 'marseille, france', 'journalism', 'smoking', 'on the run', 'black and white', 'financial transactions', 'extramarital affair', 'french noir', 'runaway couple', 'nouvelle vague', 'fugitive lovers', 'defiant']",1960-03-16,NR
Red River,1948,"['texas', 'kansas, usa', 'cattle drive', 'revenge', 'black and white', 'cattle', 'adopted child', 'cattle empire', '1850s']",1948-08-25,TP
Key Largo,1948,"['hotel', 'florida', 'war veteran', 'gangster', 'widow', 'hurricane', 'florida keys', 'wheelchair user   ', 'film noir', 'alcoholic', 'humiliation', 'death', 'intimidation', 'charter boat', 'nightclub singer', 'henchmen', 'moll', 'local indians', 'suspenseful', 'intense']",1948-07-16,NR
To Have and Have Not,1944,"['island', 'based on novel or book', 'nazi', 'fishing', 'singer', 'film noir', 'french resistance', 'alcoholic', 'hemingway', 'expatriate', 'martinique', 'sidekick']",1944-10-11,NR
Shadow of a Doubt,1943,"['small town', 'california', 'library', 'widow', 'bank', 'detective', 'telegram', 'housewife', 'film noir', 'incest overtones', 'murder', 'fugitive', 'teenage girl', 'black and white', 'murderer', 'police detective', 'privacy', 'visit', 'gender roles', 'brother sister\xa0', 'wealthy widow', 'precocious child', 'misogynist', 'americana', 'uncle niece relationship', 'money in the bank', 'murder suspect', 'northern california', 'conflicting worldviews', 'bluebeard']",1943-01-12,PG
Stagecoach,1939,"['marriage proposal', 'prostitute', 'new mexico', 'arizona', 'infant', 'outcast', 'fugitive', 'shootout', 'black and white', 'doctor', 'desert', 'stagecoach', 'cowboy', 'stranger', 'indian attack', 'outlaw gang', 'ostracism', 'calvary', 'drunkard']",1939-02-02,G
The Lady Vanishes,1938,"['espionage', 'secret agent', 'flowerpot', 'concussion', 'search for witnesses', 'conspiracy', 'black and white', 'train', 'british spy', 'old lady', 'missing person', 'magician', 'bold']",1938-10-07,NR
Bringing Up Baby,1938,"['prison', 'donation', 'museum', 'zoo', 'affectation', 'paleontologist', 'leopard', 'bone', 'cross dressing', 'black and white', 'screwball comedy', 'lighthearted', 'audacious', 'cheerful']",1938-02-16,NR
Bride of Frankenstein,1935,"['hermit', 'monster', 'lightning', 'cemetery', 'mill', 'mad scientist', 'black and white', 'comedic relief', 'frankenstein', 'shrunken human']",1935-04-19,NR
Duck Soup,1933,"['ambassador', 'dictator', 'widow', 'spy', 'siege', 'musical', 'lemonade', 'cigar smoking', 'slapstick comedy', 'black and white', 'pre-code', 'dowager', 'fictitious country', 'geofiction', 'absurd', 'witty']",1933-11-12,NR
Scarface: The Shame of the Nation,1932,"['chicago, illinois', 'sibling relationship', 'based on novel or book', 'police', 'prohibition era', 'alcohol', 'gangster', 'gang war', 'beer', 'ambition', 'film noir', 'murder', 'mobster', 'black and white', 'pre-code']",1932-03-31,15
Frankenstein,1931,"['fire', 'monster', 'experiment', 'based on novel or book', 'reanimation', 'laboratory', 'mad doctor', 'black and white', 'pre-code', 'body part', 'angry mob', 'woman in peril', 'villager', 'human monster', 'frankenstein']",1931-11-19,NR
Roma,2018,"['mexico city, mexico', '1970s', 'middle class', 'family relationships', 'black and white', 'maid', 'autobiographical', 'master servant relationship', 'domestic worker']",2018-08-30,R
God's Own Country,2017,"['sheep', 'countryside', 'isolation', 'farm life', 'yorkshire', 'loneliness', 'rural area', 'migrant farmworker', 'farmer', 'british pub', 'stroke', 'lgbt', 'responsibility', 'migrant worker', 'romanian', 'animal agriculture', 'gay romance', 'gay theme', ""boys' love (bl)"", 'earnest', 'gentle', 'hopeful']",2017-01-23,R
Deadpool 2,2018,"['hero', 'superhero', 'mutant', 'mercenary', 'based on comic', 'sequel', 'breaking the fourth wall', 'aftercreditsstinger', 'duringcreditsstinger', 'joyful']",2018-05-15,R
Wind River,2017,"['wyoming, usa', 'rape', 'gun', 'fbi', 'mountain', 'investigation', 'native american', 'forest', 'murder', 'shootout', 'photograph', 'native american reservation', 'binoculars', 'questioning', 'rape and revenge', 'mysterious', 'disturbed', 'snowmobile', 'nervous', 'cautionary', 'serious', 'missing and murdered indigenous women', 'depressing', 'audacious', 'awestruck', 'forceful']",2017-01-21,R
